Timestamp,Nama Pengeluaran,Kategori,Keterangan,Price
6/5/2024 15:11,Beras,Beras,Anak Raja 5 kg,76500
6/5/2024 15:14,Kos,Kos,Uang kos 1 bulan,200000
6/5/2024 15:41,Mie,Makanan,Sedap Soto,3500
6/5/2024 15:41,Telur,Makanan,Satu Biji,2500
6/5/2024 16:14,Malkist,Jajan,2 pcs,2000
7/5/2024 0:10,Lauk,Makanan,"Tempe, mie, telur",11000
7/5/2024 8:09,Bensin,Tranportasi,Tidak di pom,5000
7/5/2024 15:43,Nasi Padang,Makanan,Addition krupuk,14000
7/5/2024 23:22,Susu Frisant Flag,Jajan,Addition malkist,3000
8/5/2024 15:42,Sabun Daia,Lainnya,3 biji,3000
8/5/2024 15:43,Gooday,Jajan,Kue 2,3000
8/5/2024 22:24,Coca-cola,Jajan,Dingin 390ml,6000
9/5/2024 8:36,Soto Fti,Makanan,Addition gorengan,10000
9/5/2024 12:38,Gooday,Jajan,Additon malkist,5000
9/5/2024 19:20,Lauk padang,Makanan,Ayam goreng dan sayurnya,13000
9/5/2024 23:53,Malkist,Jajan,3 pcs,3000
10/5/2024 15:01,Susu Frisant Flag,Jajan,Tambah malkist,3000
10/5/2024 16:59,Minyak goreng,Lainnya,Rosebrens,4000
10/5/2024 17:00,Telur,Makanan,Mentah,2500
10/5/2024 18:41,Padang,Makanan,"Lauk aja",13000
