Nama,HP,HP Regen,Physical Attack,Physical Defence,Attack Speed,Attack Speed pc,Mana,Mana Regen,Magic Power,Magic Defence,Movement Speed,Critical Chance,Critical Damage,Critical Damage Reduction,Cooldown Reduction,Spell Vamp,Magic Lifesteal,Physical PEN,Physical PEN Persen,Magical PEN,Magical PEN Persen,Resilience,Efek Pemulihan,Pemulihan Diterima,Attack Speed Total
Aamon,2614,8,115,19,1.09,100,455,21,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1.09
Akai,2769,8.4,115,24,1.06,100,422,12,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Aldous,2718,9.8,129,21,1.04,100,405,18,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.04
Alice,2573,7.2,114,21,1,100,493,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Alpha,2646,7.8,121,25,1.14,100,453,31,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.14
Alucard,2621,7.8,123,21,1.12,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.12
Angela,2421,6.8,115,15,0.99,100,515,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.99
Argus,2628,8,100,21,1.09,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.09
Atlas,2819,8.4,135,21,0.98,90,440,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.882
Aulus,2758,10.2,99,24,0.92,100,410,17,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,0.92
Aurora,2501,6.8,110,17,1,100,750,23,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Badang,2708,8,111,23,1.13,100,0,0,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1.13
Balmond,2736,9.4,119,25,1.06,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Bane,2559,8.4,117,23,1.06,100,433,12,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Barats,2559,8.8,135,18,1.01,50,430,15,0,15,268,0,200,0,0,0,0,0,0,0,0,0,0,0,0.505
Baxia,2769,8.4,125,23,1,90,422,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.9
Beatrix,2550,7.2,110,20,1.07,100,0,0,0,15,257,0,200,0,0,0,0,0,0,0,0,0,0,0,1.07
Belerick,2769,8.4,110,15,1.01,100,450,12,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Benedetta,2569,6.6,113,18,1.1,100,460,16,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1.1
Brody,2490,7.2,105,20,1.1,70,435,15,0,15,253,0,200,0,0,0,0,0,0,0,0,0,0,0,0.77
Bruno,2522,6,140,17,1.01,80,439,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.808
Carmilla,2528,7.8,126,25,1.14,100,430,16,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1.14
Cecilion,2516,6.8,105,20,1,100,700,30,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Change,2301,6.8,115,16,1.01,100,505,21,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Chou,2708,7.8,121,23,1.1,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.1
Claude,2370,8,97,14,1.03,100,250,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.03
Clint,2530,7.2,115,20,1.05,100,450,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Cyclops,2521,7.6,112,18,1,100,500,20,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Diggie,2351,7.2,115,16,1,100,490,20,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Dyrroth,2758,8.2,117,22,1.14,100,0,0,0,15,265,0,200,0,0,0,0,0,0,0,0,0,0,0,1.14
Esmeralda,2573,7.2,114,21,1,100,502,20,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Estes,2221,7.2,120,13,1,100,545,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Eudora,2524,7.6,112,19,1,100,468,16,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Fanny,2526,6.6,126,19,1.11,100,100,3,0,15,265,0,200,0,0,0,0,0,0,0,0,0,0,0,1.11
Faramis,2543,6.8,118,20,0.98,100,500,19,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
Floryn,2401,7.6,119,12,0.97,100,550,22,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.97
Franco,2709,9.2,116,25,1.03,100,440,10,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.03
Freya,2801,9.8,109,22,1.04,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.04
Gatotkaca,2629,8.4,128,10,1.01,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Gloo,2819,12.4,120,18,0.98,80,440,20,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,0.784
Gord,2478,6.4,110,13,0.98,100,570,25,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
Granger,2340,5.4,100,15,1.02,40,0,0,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.408
Grock,2819,8.4,135,21,1.01,100,430,12,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Guinevere,2528,7.8,126,18,1.14,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.14
Gusion,2578,7.8,119,16,1.11,100,460,16,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.11
Hanabi,2510,6,105,17,1.06,100,390,15,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Hanzo,2594,7,108,17,1.08,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.08
Harith,2701,7.2,114,19,1.05,100,490,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Harley,2501,7.2,114,19,1.06,100,490,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Hayabusa,2429,7.4,117,117,1.06,100,100,4,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
