Timestamp,Nama Pengeluaran,Kategori,Keterangan,Price
6/5/2024 15:11,Beras,Beras,Anak Raja 5 kg,76500
6/5/2024 15:14,Kos,Kos,Uang kos 1 bulan,200000
6/5/2024 15:41,Mie,Makanan,Sedap Soto ,3500
6/5/2024 15:41,Telur,Makanan,Satu Biji,2500
6/5/2024 16:14,Malkist,Jajan,2 pcs,2000
7/5/2024 0:10,Lauk,Makanan,"Tempe, mie, telur",11000
7/5/2024 8:09,Bensin,Tranportasi,Tidak di pom,5000
7/5/2024 15:43,Nasi Padang,Makanan,Addition krupuk,14000
7/5/2024 23:22,Susu Frisant Flag,Jajan,Addition malkist,3000
8/5/2024 15:42,Sabun Daia,Lainnya,3 biji,3000
8/5/2024 15:43,Gooday,Jajan,Kue 2,3000
8/5/2024 22:24,Coca-cola,Jajan,Dingin 390ml,6000
9/5/2024 8:36,Soto Fti,Makanan,Addition gorengan,10000
9/5/2024 12:38,Gooday,Jajan,Additon malkist,5000
9/5/2024 19:20,Lauk padang,Makanan,Ayam goreng dan sayurnya,13000
9/5/2024 23:53,Malkist,Jajan,3 pcs,3000
10/5/2024 15:01,Susu Frisant Flag,Jajan,Tambah malkist,3000
10/5/2024 16:59,Minyak goreng,Lainnya,Rosebrens,4000
10/5/2024 17:00,Telur,Makanan,Mentah,2500
10/5/2024 18:41,Padang,Makanan,"

Lauk aja",13000
11/5/2024 14:41,Susu Frisant Flag,Jajan,2pcs,4000
11/5/2024 21:37,Bledugh,Jajan,1pcs,2500
12/5/2024 14:14,Mie Sedap,Makanan,Rasa soto,3500
12/5/2024 14:15,Telur,Makanan,1pcs,2500
12/5/2024 20:54,Lauk,Makanan,Tempe dan sayur,10000
12/5/2024 20:55,Ultra Milk,Lainnya,Besar,8000
13/5/2024 16:50,Susu Frisant Flag,Lainnya,1 pcs,2000
13/5/2024 16:51,Malkist,Jajan,1pcs,1000
13/5/2024 16:52,Telur,Makanan,1pcs,2500
13/5/2024 17:43,Es Teler,Jajan,Tambah icecream,14000
13/5/2024 17:44,Lauk Padang,Makanan,Tanpa nasi,13000
14/5/2024 13:05,Milo,Jajan,1pcs medium,2500
14/5/2024 13:41,Bensin,Tranportasi,1/3 liter,7000
14/5/2024 13:42,Nasi Kunig,Makanan,tmabahan donat dan air es,8000
14/5/2024 18:58,Lauk,Makanan,"Tempe, varia dan toge",8000
15/5/2024 22:04,Bensin,Tranportasi,Stengau liter,5000
15/5/2024 22:05,Adit,Makanan,Makan di tempat,16000
16/5/2024 15:56,Susu Frisant Flag,Jajan,genapin telur titipan jan 500,3000
16/5/2024 15:57,Mie Sedaap ,Makanan,Rasa Soto,3500
16/5/2024 15:57,Telur,Makanan,Mentah,2500
16/5/2024 18:37,Nasi goreng sentot,Makanan,Ruwet,13000
17/5/2024 15:17,Susu Frisant,Jajan,+ telur,5000
17/5/2024 22:19,Padang,Makanan,Dengan Nasi,16000
18/5/2024 15:55,Susu Frisant Flag,Jajan,Tambah malkist 2pcs,4000
18/5/2024 15:57,Es Teler,Jajan,Ori,12000
18/5/2024 23:47,Lauk,Makanan,"Tempe, bihun, sup, gorengan 3",12000
19/5/2024 12:22,Susu Frisant Flag,Jajan,+ telur,5000
19/5/2024 20:23,Lauk,Makanan,Ikan + mie,13000
20/5/2024 20:13,Baksoo,Makanan,-,10000
20/5/2024 20:14,Chocholatos,Jajan,1pcs,2000
20/5/2024 20:14,Padang,Makanan,Lauk aja,13000
20/5/2024 22:46,Kopi Kapal Api,Jajan,Spesialno sugar,5000
21/5/2024 20:18,Bensin,Tranportasi,6,6000
21/5/2024 20:20,Es Teler,Lainnya,Ori,12000
21/5/2024 20:21,Lauk,Makanan,"Tempe basah, sup , mie, gorengan 2",11000
22/5/2024 21:08,Sprite,Jajan,tambah chiki,12000
22/5/2024 21:09,Lauk,Makanan,"laksa, dll",10000
23/5/2024 14:59,Susu frisant flag,Lainnya,Tambbah Sabun Daia,4000
24/5/2024 13:58,Padang,Makanan,Lauk saja,13000
24/5/2024 13:59,Es Teler,Jajan,Ori,12000
26/5/2024 20:25,Senthot,Makanan,Ayam kremes,17000
26/5/2024 0:57,Coca-Cola,Lainnya,No sugar,5000
27/5/2024 13:57,Roti Aoka,Jajan,1pcs,3000
27/5/2024 18:58,Lauk Pandang,Makanan,Ayam goreng dan sayur,12000
27/5/2024 23:00,Coca-cola,Jajan,Tambah chiki,11000
28/5/2024 13:01,Gojek,Tranportasi,Ke fti,8500
29/5/2024 21:07,Gojek,Tranportasi,Kampus-fti,8500
29/5/2024 15:54,Lauk,Makanan,Bayem-tahu-tempe,10000
29/5/2024 16:55,Bakso,Makanan,1 porsi tanpa minum + krupuk,10000
30/5/2024 23:07,Bensin,Tranportasi,Stenga,5000
31/5/2024 20:34,Mie,Makanan,Sedap soto + krupu 3pcs,5000
31/5/2024 19:05,Mouse,Electronic,votre,15000
31/5/2024 19:06,Lauk,Makanan,tempe tahu dll,10000
31/5/2024 19:07,gooday,Jajan,1pcs,2000
1/6/2024 17:02,Telur,Makanan,tambah telur,5000
1/6/2024 17:03,Es Teler,Jajan,ori,12000
1/6/2024 20:16,Lauk,Makanan,warteg aquila kerang dan jamur,12000
2/6/2024 20:20,drink some shit ,Jajan,"gooday, susu firsant flag 2 ",6000
3/6/2024 1:04,Sari Gandum,Jajan,Ori,12000
3/6/2024 1:04,Ultra Milk,Jajan,Medium,7000
3/6/2024 21:55,Lauk,Makanan,Telu tahu pentol,10000
4/6/2024 18:09,Soto,Makanan,1 porsi,10000
4/6/2024 20:26,Lauk,Makanan,"Kerang, galatine, jamur, krupuk",12000
5/6/2024 13:06,Sprite,Jajan,No sugar,6000
5/6/2024 18:07,Susu Frisant Flag,Jajan,2pcs,4000
5/6/2024 20:07,Fajar Utami ,Makanan,Sayap tahu tempe,10000
6/6/2024 21:53,Lauk,Makanan,"Kerang, pentol, sayur, other",15000
7/6/2024 7:54,mie,Makanan,tambahan telur dan chocholatos,8000
7/6/2024 17:55,Lauk,Makanan,3 macam,10000
8/6/2024 8:01,gooday,Jajan,tambah roti,4000
8/6/2024 8:14,Galon,Lainnya,1pcs ,7000
8/6/2024 23:57,Beras,"Makanan, Beras",5kg,75000
8/6/2024 23:59,Mie Bang wendy,Lainnya,mren ynag saya pinjam ,23000
8/6/2024 23:00,Nasi Goreng ,Makanan,senthot,13000
9/6/2024 12:06,Good day,Jajan,tambahan roti,5000
9/6/2024 21:07,Basbethod,Makanan,paket ayam kremes,17000
10/6/2024 15:07,Roti,Makanan,Aoka dengan kopi,5000
10/6/2024 15:07,Lauk,Makanan,3 macam,12000
11/6/2024 15:08,Soto,Makanan,Soto pagi,9000
11/6/2024 15:09,Es Teler,Jajan,Ori,12000
11/6/2024 1:21,Gorengan,Makanan,7k,7000
12/6/2024 18:37,Susu Frisant Flag,Jajan,2pcs,4000
12/6/2024 18:45,Lauk,Makanan,tanpa nasi,12000
13/6/2024 22:46,Lauk,Makanan,Lauk padang,12000
14/6/2024 12:38,Unknown,Makanan,Lupa,27000
15/6/2024 12:41,Jajann,Jajan,-,10000
16/6/2024 12:41,Lauk,Makanan,-,10000
16/6/2024 1:30,Bear Brand,Lainnya,1pcd ,9000
16/6/2024 13:07,Lauk,Makanan,-,10000
16/6/2024 13:08,chiki,Jajan,-,5000
17/6/2024 1:09,Sari Gandum,Makanan,at midnight,10000
17/6/2024 13:10,Gooday,Jajan,tambahan snack,4000
17/6/2024 23:26,Lauk,Makanan,"jamur, telur, ",10000
17/6/2024 23:28,Lauk,Makanan,"jamur, telur, ",10000
18/6/2024 9:40,Soto Bening,Makanan,gorengan 4pcs,9000
18/6/2024 9:41,Coca-Cola,Jajan,no sugar,5000
18/6/2024 9:41,Lauk,Makanan,Warteg Aquila,15000
19/6/2024 15:45,Spirte,Jajan,1pcs,5000
19/6/2024 15:46,Another,Jajan,-,5000
19/6/2024 15:47,Galon,Lainnya,10pcs,7000
19/6/2024 15:47,Bensin,Tranportasi,5,5000
20/6/2024 2:07,Night eat,Jajan,"Buavita, Sarigandum",20000
20/6/2024 2:09,Lauk,Makanan,"Mangut, glatin jamur",13000
22/6/2024 2:12,Lauk,Makanan,-,10000
22/6/2024 2:12,Kopi,Jajan,2kali,7000
22/6/2024 2:14,Ultra Milk,Jajan,1pcs,7000
