Timestamp,Kategori,Price
2024-05-06,MakananMakananJajan,8000
2024-05-07,MakananTranportasiMakananJajan,33000
2024-05-08,LainnyaJajanJajan,12000
2024-05-09,MakananJajanMakananJajan,31000
2024-05-10,JajanLainnyaMakananMakanan,22500
2024-05-11,JajanJajan,6500
2024-05-12,MakananMakananMakananLainnya,24000
2024-05-13,LainnyaJajanMakananJajanMakanan,32500
2024-05-14,JajanTranportasiMakananMakanan,25500
2024-05-15,TranportasiMakanan,21000
2024-05-16,JajanMakananMakananMakanan,22000
2024-05-17,JajanMakanan,21000
2024-05-18,JajanJajanMakanan,28000
2024-05-19,JajanMakanan,18000
2024-05-20,MakananJajanMakananJajan,30000
2024-05-21,TranportasiLainnyaMakanan,29000
2024-05-22,JajanMakanan,22000
2024-05-23,Lainnya,4000
2024-05-24,MakananJajan,25000
2024-05-26,LainnyaMakanan,22000
2024-05-27,JajanMakananJajan,26000
2024-05-28,Tranportasi,8500
2024-05-29,MakananMakananTranportasi,28500
2024-05-30,Tranportasi,5000
2024-05-31,ElectronicMakananJajanMakanan,32000
2024-06-01,MakananJajanMakanan,29000
2024-06-02,Jajan,6000
2024-06-03,JajanJajanMakanan,29000
2024-06-04,MakananMakanan,22000
2024-06-05,JajanJajanMakanan,20000
2024-06-06,Makanan,15000
2024-06-07,MakananMakanan,18000
2024-06-08,JajanLainnyaMakananLainnya,47000
2024-06-09,JajanMakanan,22000
2024-06-10,MakananMakanan,17000
2024-06-11,MakananMakananJajan,28000
2024-06-12,JajanMakanan,16000
2024-06-13,Makanan,12000
2024-06-14,Makanan,27000
2024-06-15,Jajan,10000
2024-06-16,LainnyaMakananMakananJajan,34000
2024-06-17,MakananJajanMakananMakanan,34000
2024-06-18,MakananJajanMakanan,29000
2024-06-19,JajanJajanLainnyaTranportasi,22000
2024-06-20,JajanMakanan,33000
2024-06-22,MakananJajanJajan,24000
