date,vendor_id,chain_id,city_id,spec,successful_orders,fail_orders
2019-07-02,40065,7501,23,Суши,54.0,1.0
2019-08-27,48058,33226,23,Шаурма,0.0,0.0
2019-09-25,35430,26220,25,Пицца,2.0,0.0
2019-09-21,56553,38601,23,Шашлыки,1.0,0.0
2019-09-21,43919,30984,25,Суши,6.0,0.0
2019-06-13,53006,36214,26,Грузинская,2.0,0.0
2019-07-07,28982,20651,24,Суши,0.0,1.0
2019-08-01,45472,30409,24,Бургеры,37.0,4.0
2019-07-03,65358,43034,23,Русская,1.0,0.0
2019-09-19,60878,41231,23,Русская,4.0,0.0
2019-06-15,57094,38968,26,Пицца,3.0,0.0
2019-09-09,51224,31065,26,Шаурма,2.0,0.0
2019-08-17,45086,31545,23,Пицца,2.0,0.0
2019-06-15,43771,27316,25,Бургеры,35.0,0.0
2019-07-14,18473,11886,24,Мясо,2.0,0.0
2019-07-12,41145,29659,26,Пицца,1.0,0.0
2019-07-23,8465,4877,25,Суши,4.0,0.0
2019-06-17,35659,26353,25,Мясо,2.0,0.0
2019-09-11,52926,36164,23,Шаурма,1.0,0.0
2019-09-24,53692,36597,24,Вьетнамская,7.0,0.0
2019-06-09,58331,39847,24,Русская,4.0,0.0
2019-06-25,50074,34479,23,Шаурма,3.0,0.0
2019-09-29,49442,34061,26,Русская,2.0,0.0
2019-07-15,36405,26847,23,Шашлыки,9.0,1.0
2019-07-22,64130,37164,25,Мясо,6.0,0.0
2019-09-27,56519,37877,23,Сэндвичи,5.0,0.0
2019-09-10,39217,25818,25,Пицца,1.0,0.0
2019-09-18,57505,39258,26,Грузинская,2.0,0.0
2019-06-15,9068,3323,26,Пицца,14.0,0.0
2019-08-12,62433,41772,25,Обеды,9.0,0.0
2019-07-24,35659,26353,25,Мясо,1.0,0.0
2019-06-10,45142,31577,26,Паназиатская,3.0,0.0
2019-07-28,35361,26170,23,Пицца,2.0,0.0
2019-06-23,43311,30687,24,Бургеры,5.0,0.0
2019-08-25,41453,29807,26,Суши,0.0,0.0
2019-08-20,59257,40407,24,Пицца,2.0,0.0
2019-08-17,45071,23027,25,Рыба,3.0,0.0
2019-09-15,73304,36246,24,Грузинская,3.0,0.0
2019-07-02,41130,29648,26,Вьетнамская,5.0,0.0
2019-06-02,20967,14034,24,Пицца,90.0,3.0
2019-06-20,49070,33859,25,Суши,11.0,0.0
2019-08-26,44416,30186,25,Бургеры,34.0,0.0
2019-07-03,39066,28550,24,Суши,10.0,0.0
2019-08-21,37986,27838,23,Русская,2.0,0.0
2019-07-13,16385,10371,26,Пироги,1.0,0.0
2019-08-23,50600,34808,26,Мясо,2.0,0.0
2019-09-16,70937,45518,23,Шашлыки,1.0,0.0
2019-07-22,54446,37156,25,Мясо,6.0,0.0
2019-08-21,53909,36751,25,Шашлыки,12.0,0.0
2019-09-17,65862,43279,24,Русская,0.0,1.0
2019-08-31,62647,41884,26,Пицца,2.0,0.0
2019-07-03,61086,39006,26,Кофе и чай,1.0,0.0
2019-07-26,66582,36354,23,Суши,1.0,1.0
2019-09-22,52092,35732,23,Суши,2.0,0.0
2019-09-15,64793,42805,26,Шашлыки,1.0,0.0
2019-08-28,49754,34277,23,Пицца,0.0,0.0
2019-09-10,30475,21906,24,Пицца,6.0,0.0
2019-07-08,45422,31712,26,Выпечка,4.0,0.0
2019-09-28,57319,39087,26,Шаурма,2.0,0.0
2019-08-23,57348,39137,24,Русская,1.0,0.0
2019-07-20,44278,31138,23,Суши,12.0,0.0
2019-07-14,29376,21014,25,Суши,16.0,2.0
2019-09-03,53947,36780,25,Десерты,6.0,0.0
2019-09-21,64425,35762,23,Русская,4.0,0.0
2019-07-25,40068,7501,23,Суши,4.0,1.0
2019-07-06,65356,43034,23,Русская,1.0,0.0
2019-07-31,49659,26847,23,Шашлыки,1.0,0.0
2019-09-13,47855,30729,25,Бургеры,63.0,7.0
2019-06-02,59051,40280,26,Суши,15.0,0.0
2019-09-29,61735,41537,24,Китайская,2.0,0.0
2019-08-22,61796,37246,26,Сэндвичи,10.0,1.0
2019-09-08,59515,30729,25,Бургеры,112.0,1.0
2019-09-09,11517,6869,26,Суши,5.0,0.0
2019-08-16,12057,7240,26,Суши,6.0,1.0
2019-08-16,47029,32543,23,Мясо,7.0,2.0
2019-08-11,49754,34277,23,Пицца,2.0,0.0
2019-07-12,36014,26442,23,Пицца,7.0,0.0
2019-09-20,67139,36803,24,Сэндвичи,2.0,0.0
2019-08-20,41693,29925,26,Бургеры,22.0,1.0
2019-08-31,57054,38936,23,Шашлыки,1.0,0.0
2019-08-08,61256,41388,24,Шашлыки,1.0,0.0
2019-08-16,57343,39133,25,Суши,7.0,0.0
2019-08-31,42199,30186,25,Бургеры,12.0,0.0
2019-07-22,41726,29925,26,Бургеры,9.0,0.0
2019-09-12,47029,32543,23,Мясо,2.0,0.0
2019-07-24,53355,29925,26,Бургеры,23.0,0.0
2019-09-12,12057,7240,26,Суши,3.0,0.0
2019-08-18,55984,37203,23,Пицца,2.0,0.0
2019-07-04,37341,27383,25,Суши,0.0,1.0
2019-06-29,44157,31065,26,Шаурма,7.0,0.0
2019-09-04,48191,33305,23,Суши,2.0,0.0
2019-09-12,57343,39133,25,Суши,3.0,0.0
2019-09-26,36688,27029,24,Шашлыки,2.0,0.0
2019-09-27,44365,31162,26,Бургеры,55.0,20.0
2019-07-18,51808,33403,23,Здоровая еда,3.0,0.0
2019-07-17,31644,22896,23,Пицца,9.0,0.0
2019-07-28,52681,36017,23,Суши,0.0,0.0
2019-09-30,14180,8791,26,Шашлыки,1.0,1.0
2019-09-16,53000,36208,23,Итальянская,1.0,0.0
2019-06-17,53355,29925,26,Бургеры,32.0,2.0
2019-08-09,38451,28144,23,Суши,1.0,0.0
2019-08-19,44287,31139,24,Суши,1.0,0.0
2019-09-29,46308,32134,25,Шашлыки,3.0,0.0
2019-07-04,55255,37719,26,Пицца,5.0,1.0
2019-09-14,47975,26148,25,Пицца,2.0,0.0
2019-06-07,53440,36440,26,Мясо,1.0,0.0
2019-06-20,24156,16039,23,Пицца,23.0,2.0
2019-06-09,58869,40171,23,Десерты,4.0,0.0
2019-06-26,43917,30982,26,Русская,2.0,0.0
2019-09-01,73304,36246,24,Грузинская,1.0,0.0
2019-07-28,57317,39087,26,Шаурма,5.0,0.0
2019-08-09,44116,30607,23,Бургеры,51.0,1.0
2019-06-22,28982,20651,24,Суши,3.0,0.0
2019-07-26,65943,30047,25,Бургеры,4.0,0.0
2019-06-06,19079,4346,26,Суши,2.0,0.0
2019-06-11,39878,29032,26,Суши,3.0,0.0
2019-07-19,64103,42470,24,Пицца,1.0,0.0
2019-08-31,38301,28037,25,Суши,1.0,1.0
2019-08-03,36688,27029,24,Шашлыки,2.0,0.0
2019-09-19,53993,36803,24,Сэндвичи,3.0,2.0
