"Nama,Role,Tipe,Tahun rilis"
"Aamon,ASSASSIN,Chase/Magic Damage,2021"
"Akai,TANK/SUPPORT,Guard/Crowd Control,2016"
"Aldous,FIGHTER,Burst/Support,2018"
"Alice,MAGE,Charge/Regen,2016"
"Alpha,FIGHTER,Charge/Damage,2017"
"Alucard,FIGHTER,Chase/Damage,2016"
"Angela,SUPPORT,Guard/Support,2018"
"Argus,FIGHTER,Charge/Burst,2017"
"Atlas,TANK/SUPPORT,Crowd Control/Initiator,2020"
"Aulus,FIGHTER,Damage/Crowd Control,2021"
"Aurora,MAGE,Crowd Control/Poke,2017"
"Badang,FIGHTER,Charge/Burst,2019"
"Balmond,FIGHTER,Damage/Regen,2016"
"Bane,FIGHTER/MAGE,Push/Burst,2016"
"Barats,TANK/FIGHTER,Damage/Crowd Control,2020"
"Baxia,TANK,Support/Damage,2019"
"Beatrix,MM,Reap/Damage,2021"
"Belerick,TANK,Crowd Control/Regen,2018"
"Benedetta,ASSASSIN,Chase/Burst,2020"
"Brody,MM,Burst/Damage,2020"
"Bruno,MM,Reap/Burst,2016"
"Carmilla,SUPPORT,Crowd Control/Damage,2016"
"Cecilion,MAGE,Poke/Burst,2016"
"Change,MAGE,Poke/Burst,2018"
"Chou,FIGHTER,Chase/Control,2016"
"Claude,MM,Burst/Chase,2018"
"Clint,MM,Reap/Burst,2016"
"Cyclops,MAGE,Poke/Control,2017"
"Diggie,SUPPORT,Guard/Poke,2017"
"Dyrroth,FIGHTER,Charge/Burst,2019"
"Esmeralda,MAGE/TANK,Regen/Damage,2019"
"Estes,SUPPORT,Regen/Guard,2017"
"Eudora,MAGE,Control/Burst,2016"
"Fanny,ASSASSIN,Chase/Reap,2016"
"Faramis,SUPPORT/MAGE,Guard/Charge,2019"
"Floryn,SUPPORT,Poke/Guard,2021"
"Franco,TANK/SUPPORT,Initiator/Control,2016"
"Freya,FIGHTER,Chase/Damage,2016"
"Gatotkaca,TANK/FIGHTER,Crowd Control/Burst,2017"
"Gloo,TANK,Regen/Control,2021"
"Gord,MAGE,Poke/Burst,2016"
"Granger,MM,Burst/Reap,2019"
"Grock,TANK,Crowd Control/Initiator,2017"
"Guinevere,FIGHTER,Burst/Magic Damage,2016"
"Gusion,ASSASSIN,Burst/Magic Damage,2018"
"Hanabi,MM,Reap/Damage,2018"
"Hanzo,ASSASSIN,Poke/Burst,2018"
"Harith,MAGE,Chase/Damage,2018"
"Harley,MAGE,Burst/Poke,2017"
"Hayabusa,ASSASSIN,Chase/Burst,2016"
"Helcurt,ASSASSIN,Push/Burst,2016"
"Hilda,FIGHTER,Damage/Regen,2017"
"Hylos,TANK,Guard/Initiator,2017"
"Irithel,MM,Reap/Burst,2017"
"Jawhead,FIGHTER,Charge/Burst,2018"
"Johnson,TANK,Support/Crowd Control,2017"
"Kadita,MAGE/ASSASSIN,Burst/Charge,2018"
"Kagura,MAGE,Poke/Reap,2016"
"Kaja,FIGHTER/SUPPORT,Control/Charge,2018"
"Karina,ASSASSIN,Reap/Magic Damage,2016"
"Karrie,MM,Reap/Damage,2017"
"Khaleed,FIGHTER,Damage/Regen,2020"
"Khufra,TANK/SUPPORT,Initiator/Crowd Control,2019"
"Kimmy,MM/MAGE,Damage/Magic Damage,2018"
"Lancelot,ASSASSIN,Chase/Burst,2017"
"Lapu-Lapu,FIGHTER,Chase/Burst,2017"
"Layla,MM,Reap/Damage,2016"
"Leomord,FIGHTER,Chase/Burst,2018"
"Lesley,MM,Reap/Burst,2018"
